馬番,枠,性齢,馬名,,騎手,馬体重,複勝率,G1出場数,人気,着順,父,,,母父,,コース適性,距離適性,脚質,成長,重馬場
1,1,牡3,アスクワイルドモア,,岩田望,464,71%,1,13,12,キズナ,,,ゼンノロブロイ,,芝,長い,追い込み,晩成,得意
2,1,牡3,セイウンハーデス,,幸,472,60%,0,16,11,シルバーステート,,,マンハッタンカフェ,,芝,短い,逃げ,早熟,得意
3,2,牡3,アスクビクターモア,,田辺,472,83%,1,7,3,ディープインパクト,,,,,芝,長い,逃げ,晩成,得意
4,2,牡3,マテンロウレオ,,横山和,476,40%,2,18,13,ハーツクライ,,,ブライアンズタイム,,芝,長い,追い込み,晩成,得意
5,3,牡3,ピースオブエイト,,藤岡佑,460,100%,0,12,18,スクリーンヒーロー,,,,,芝,短い,逃げ,早熟,得意
6,3,牡3,プラダリア,,池添,458,100%,0,5,5,ディープインパクト,,,クロフネ,,芝,短い,逃げ,早熟,得意
7,4,牡3,オニャンコポン,,菅原明,468,71%,2,6,8,エイシンフラッシュ,,,ヴィクトワールピサ,,芝,短い,追い込み,晩成,得意
8,4,牡3,ビーアストニッシド,,和田竜,462,71%,1,17,10,アメリカンベイトリオット,,,ネオユニヴァース,,芝,短い,逃げ,早熟,得意
9,5,牡3,ジャスティスパレス,,Mデム,448,75%,2,10,9,ディープインパクト,,,,,芝,短い,逃げ,早熟,得意
10,5,牡3,マテンロウオリオン,,横山典,484,100%,1,9,17,ダイワメジャー,,,キングカメハメハ,,芝,短い,逃げ,早熟,得意
11,6,牡3,ジャスティンロック,,松山,486,60%,1,14,16,リオンディーズ,,,,,芝,短い,追い込み,早熟,得意
12,6,牡3,ダノンベルーガ,,川田,494,67%,1,1,4,ハーツクライ,,,,,芝,短い,追い込み,早熟,得意
13,7,牡3,ドウデュース,,武豊,490,100%,2,3,1,ハーツクライ,,,,,芝,長い,追い込み,晩成,得意
14,7,牡3,デシエルト,,岩田康,512,75%,1,15,15,ドレフォン,,,キングカメハメハ,,ダート,短い,逃げ,早熟,得意
15,8,牡3,ジオグリフ,,福永,492,80%,2,4,7,ドレフォン,,,キングカメハメハ,,芝,長い,追い込み,早熟,得意
16,8,牡3,キラーアビリティ,,横山武,460,60%,2,8,6,ディープインパクト,,,,,芝,長い,追い込み,早熟,得意
17,9,牡3,ロードレゼル,,レーン,506,100%,0,11,14,ディープインパクト,,,キングカメハメハ,,芝,長い,逃げ,晩成,得意
18,9,牡3,イクイノックス,,ルメール,484,100%,1,2,2,キタサンブラック,,,キングヘイロー,,芝,長い,追い込み,晩成,得意
